PQID,CMT_AMT,UID,UNM,Month,Day,Year,CAT
H2NV04011,5000,C00142315,"HORSFORD, STEVEN ALEXZANDER",12,20,2011,DEM
H2NV04011,5000,C00142315,"HORSFORD, STEVEN ALEXZANDER",3,28,2012,DEM
H2NV04011,632,C00484287,"HORSFORD, STEVEN ALEXZANDER",10,21,2012,DEM
H2NV04011,689,C00484287,"HORSFORD, STEVEN ALEXZANDER",10,21,2012,DEM
H2NV04011,1076,C00484287,"HORSFORD, STEVEN ALEXZANDER",10,21,2012,DEM
H2NY01067,1000,C00101766,"BISHOP, TIMOTHY",7,25,2011,DEM
H2NY11017,1000,C00309146,"TOWNS, EDOLPHUS",12,2,2011,DEM
H2NY14037,1000,C00142315,"MALONEY, CAROLYN B",2,21,2012,DEM
H2NY17071,2000,C00101766,"NADLER, JERROLD L. MR.",10,25,2011,DEM
H2OH03067,1000,C00366070,"TURNER, MICHAEL R",4,7,2011,REP
H2OH09031,2000,C00366070,"KAPTUR, MARCY C HON.",6,16,2011,DEM
H2OH09031,2500,C00366070,"KAPTUR, MARCY C HON.",3,1,2012,DEM
H2OH09031,1000,C00101766,"KAPTUR, MARCY C HON.",7,17,2012,DEM
H2OH09031,4000,C00366070,"KAPTUR, MARCY C HON.",9,13,2012,DEM
H2OH09031,1000,C00366070,"KAPTUR, MARCY C HON.",9,13,2012,DEM
H2OH09031,1000,C00078261,"KAPTUR, MARCY C HON.",11,28,2012,DEM
H2OK01093,1000,C00485003,"SULLIVAN, JOHN",12,7,2011,REP
H2PA02055,1000,C00313650,"FATTAH, CHAKA MR.",9,5,2012,DEM
H2PA06080,2000,C00313650,"HOLDEN, TIMOTHY T",4,20,2012,DEM
H2PA06114,1000,C00313650,"GERLACH, JIM",9,5,2012,REP
H2PA09035,1000,C00101766,"SHUSTER, WILLIAM MR.",9,22,2011,REP
H2PA09035,3000,C00101766,"SHUSTER, WILLIAM MR.",6,21,2012,REP
H2PA11098,1000,C00313650,"BARLETTA, LOU",7,30,2012,REP
H2PA18143,1000,C00313650,"MURPHY, TIM",9,5,2012,REP
H2SC02042,1500,C00309146,"CLYBURN, JAMES E",8,22,2012,DEM
H2TN06030,1000,C00226472,"BLACKBURN, MARSHA MRS.",6,16,2011,REP
H2TN06030,2000,C00389403,"BLACKBURN, MARSHA MRS.",11,30,2011,REP
H2TX00015,1000,C00313650,"JOHNSON, EDDIE BERNICE",4,23,2012,DEM
H2TX03118,1000,C00313650,"JOHNSON, SAMUEL ROBERT",5,18,2012,REP
H2TX05121,1000,C00034785,"HENSARLING, JEB HON.",10,13,2011,REP
H2TX05121,4000,C00034785,"HENSARLING, JEB HON.",9,17,2012,REP
H2TX29030,2000,C00101766,"GREEN, RAYMOND E. 'GENE'",6,15,2011,DEM
H2TX29030,1000,C00101766,"GREEN, RAYMOND E. 'GENE'",9,7,2011,DEM
H2TX29030,3000,C00078261,"GREEN, RAYMOND E. 'GENE'",8,24,2012,DEM
H2TX29030,1000,C00313650,"GREEN, RAYMOND E. 'GENE'",9,5,2012,DEM
H2TX31044,1000,C00366070,"CARTER, JOHN R. REP.",3,10,2011,REP
H2TX31044,1500,C00101766,"CARTER, JOHN R. REP.",7,28,2011,REP
H2TX31044,1000,C00366070,"CARTER, JOHN R. REP.",3,29,2012,REP
H2TX31044,1000,C00101766,"CARTER, JOHN R. REP.",7,18,2012,REP
H2VA06115,5000,C00451153,"GOODLATTE, ROBERT W",6,28,2011,REP
H2VA06115,5000,C00451153,"GOODLATTE, ROBERT W",9,28,2012,REP
H2WA04041,1000,C00226472,"HASTINGS, DOC",6,23,2011,REP
H4AZ01038,2500,C00313650,"SALMON, MATT",9,21,2012,REP
H4AZ06045,2500,C00313650,"SCHWEIKERT, DAVID",3,14,2011,REP
H4AZ06045,1000,C00313650,"SCHWEIKERT, DAVID",11,10,2011,REP
H4CA17021,1000,C00078261,"FARR, SAM",5,3,2011,DEM
H4CA17021,1000,C00078261,"FARR, SAM",11,17,2011,DEM
H4CA17021,1000,C00101766,"FARR, SAM",6,21,2012,DEM
H4GA12010,2500,C00034785,"BARROW, JOHN J.",5,6,2011,DEM
H4GA12010,2000,C00389403,"BARROW, JOHN J.",11,30,2011,DEM
H4IA05102,1000,C00176727,"LATHAM, THOMAS",5,31,2011,REP
H4IA05102,2000,C00176727,"LATHAM, THOMAS",6,30,2012,REP
H4IA05102,1000,C00078261,"LATHAM, THOMAS",9,19,2012,REP
H4IL03077,2000,C00078261,"LIPINSKI, DANIEL",3,7,2012,DEM
H4IL07037,1000,C00101766,"DAVIS, DANNY K",9,22,2011,DEM
H4IL07037,1000,C00101766,"DAVIS, DANNY K",6,27,2012,DEM
H4LA07029,2500,C00168070,"BOUSTANY, JR, CHARLES W.",4,14,2011,REP
H4LA07029,1000,C00101766,"BOUSTANY, JR, CHARLES W.",5,25,2011,REP
H4LA07029,1000,C00168070,"BOUSTANY, JR, CHARLES W.",9,10,2012,REP
H4LA07029,1500,C00168070,"BOUSTANY, JR, CHARLES W.",10,10,2012,REP
H4LA07029,5000,C00226472,"BOUSTANY, JR, CHARLES W.",11,7,2012,REP
H4LA07029,2500,C00168070,"BOUSTANY, JR, CHARLES W.",11,15,2012,REP
H4MA06033,1000,C00168070,"TIERNEY, JOHN F",10,17,2012,DEM
H4MS02068,1000,C00313650,"THOMPSON, BENNIE G",9,5,2012,DEM
H4NC01046,1000,C00309146,"BUTTERFIELD, G. K.",12,2,2011,DEM
H4NC06011,1000,C00366070,"COBLE, JOHN HOWARD",3,15,2011,REP
H4NC06011,1000,C00366070,"COBLE, JOHN HOWARD",3,29,2012,REP
H4NC06011,1000,C00313650,"COBLE, JOHN HOWARD",9,5,2012,REP
H4NC06011,1000,C00078261,"COBLE, JOHN HOWARD",9,19,2012,REP
H4OH19036,2500,C00366070,"LATOURETTE, STEVEN C",12,13,2011,REP
H4OH19036,4000,C00078261,"LATOURETTE, STEVEN C",4,26,2012,REP
H4PA08074,1000,C00078261,"FITZPATRICK, MICHAEL G.",9,19,2012,REP
H4PA13124,1000,C00384602,"SCHWARTZ, ALLYSON Y.",6,8,2011,DEM
H4PA13124,1000,C00313650,"SCHWARTZ, ALLYSON Y.",3,19,2012,DEM
H4PA15087,1000,C00366070,"DENT, CHARLES W REP",7,12,2011,REP
H4PA15087,1000,C00313650,"DENT, CHARLES W REP",9,5,2012,REP
H4TX02108,1000,C00168070,"POE, TED",2,13,2011,REP
H4TX02108,1000,C00078261,"POE, TED",3,7,2012,REP
H4TX02108,1000,C00078261,"POE, TED",9,10,2012,REP
H4TX06117,1000,C00309146,"BARTON, JOE LINUS",9,26,2011,REP
H4TX09095,1000,C00078261,"GREEN, ALEXANDER",6,27,2011,DEM
H4TX10093,1000,C00101766,"MCCAUL, MICHAEL",5,11,2011,REP
H4TX10093,2000,C00078261,"MCCAUL, MICHAEL",12,20,2011,REP
H4TX18054,1000,C00078261,"LEE, SHEILA JACKSON",2,29,2012,DEM
H4TX28046,1000,C00078261,"CANSECO, FRANCISCO RAUL QUICO R.",9,7,2012,REP
H4WA05077,2000,C00485003,"RODGERS, CATHY MCMORRIS",9,20,2012,REP
H4WI04183,2000,C00079541,"MOORE, GWENDOLYNNE",1,23,2012,DEM
H4WI04183,2000,C00079541,"MOORE, GWENDOLYNNE",11,5,2012,DEM
H6AL04098,1000,C00176727,"ADERHOLT, ROBERT BROWN",2,28,2011,REP
H6AL04098,2000,C00176727,"ADERHOLT, ROBERT BROWN",4,30,2011,REP
H6AL04098,1000,C00176727,"ADERHOLT, ROBERT BROWN",3,31,2012,REP
H6AL04098,2500,C00226472,"ADERHOLT, ROBERT BROWN",9,19,2012,REP
H6AZ08038,1000,C00079541,"GIFFORDS, GABRIELLE",3,21,2011,DEM
H6CA05195,1000,C00078261,"MATSUI, DORIS",11,17,2011,DEM
H6CA09023,5000,C00384602,"STARK, FORTNEY HILLMAN JR",5,25,2011,DEM
H6CA09023,5000,C00384602,"STARK, FORTNEY HILLMAN JR",5,31,2012,DEM
H6CA22125,3500,C00168070,"MCCARTHY, KEVIN",4,14,2011,REP
H6CA34112,1000,C00367995,"LUNGREN, DANIEL E.",5,11,2011,REP
H6CA34112,1000,C00176727,"LUNGREN, DANIEL E.",10,31,2011,REP
H6CA34112,1000,C00367995,"LUNGREN, DANIEL E.",5,11,2012,REP
H6CA34112,1000,C00101766,"LUNGREN, DANIEL E.",7,18,2012,REP
H6CA39020,1000,C00078261,"ROYCE, EDWARD R",12,9,2011,REP
H6CA46033,2000,C00078261,"SANCHEZ, LORETTA",9,19,2012,DEM
H6CA46033,1000,C00309146,"SANCHEZ, LORETTA",9,28,2012,DEM
H6CA48039,5000,C00389403,"CAMPBELL, JOHN BT III",11,30,2011,REP
H6CO01141,2000,C00079541,"DEGETTE, DIANA L.",1,23,2012,DEM
H6CO03139,1000,C00309146,"TIPTON, SCOTT R.",3,28,2012,REP
H6CO03139,1000,C00101766,"TIPTON, SCOTT R.",6,27,2012,REP
H6CO05159,2500,C00367995,"LAMBORN, DOUGLAS",11,6,2012,REP
H6CO07023,2362,C00484287,"PERLMUTTER, EDWIN G",10,16,2012,DEM
H6CO07023,2362,C00484287,"PERLMUTTER, EDWIN G",10,17,2012,DEM
H6CO07023,2362,C00484287,"PERLMUTTER, EDWIN G",10,18,2012,DEM
H6CO07023,1818,C00484287,"PERLMUTTER, EDWIN G",10,19,2012,DEM
H6CO07023,1818,C00484287,"PERLMUTTER, EDWIN G",10,20,2012,DEM
H6CO07023,1818,C00484287,"PERLMUTTER, EDWIN G",10,21,2012,DEM
H6CO07023,2081,C00484287,"PERLMUTTER, EDWIN G",10,22,2012,DEM
H6CO07023,2081,C00484287,"PERLMUTTER, EDWIN G",10,23,2012,DEM
H6CO07023,2081,C00484287,"PERLMUTTER, EDWIN G",10,24,2012,DEM
H6CO07023,2290,C00484287,"PERLMUTTER, EDWIN G",10,25,2012,DEM
H6CO07023,2290,C00484287,"PERLMUTTER, EDWIN G",10,26,2012,DEM
H6CO07023,2027,C00484287,"PERLMUTTER, EDWIN G",10,27,2012,DEM
H6CO07023,2027,C00484287,"PERLMUTTER, EDWIN G",10,28,2012,DEM
H6CO07023,2569,C00484287,"PERLMUTTER, EDWIN G",10,29,2012,DEM
H6CO07023,1712,C00484287,"PERLMUTTER, EDWIN G",10,30,2012,DEM
H6CO07023,1712,C00484287,"PERLMUTTER, EDWIN G",10,31,2012,DEM
H6CO07023,1712,C00484287,"PERLMUTTER, EDWIN G",11,1,2012,DEM
H6CO07023,1712,C00484287,"PERLMUTTER, EDWIN G",11,2,2012,DEM
H6CO07023,1712,C00484287,"PERLMUTTER, EDWIN G",11,3,2012,DEM
H6CO07023,1712,C00484287,"PERLMUTTER, EDWIN G",11,4,2012,DEM
H6CO07023,1006,C00484287,"PERLMUTTER, EDWIN G",11,5,2012,DEM
H6CO07023,1006,C00484287,"PERLMUTTER, EDWIN G",11,6,2012,DEM
H6FL11126,1000,C00226472,"CASTOR, KATHY",4,24,2012,DEM
H6IL02124,1000,C00168070,"JACKSON, JESSE JR",8,25,2011,DEM
H6IL06117,2500,C00034785,"ROSKAM, PETER",2,10,2011,REP
H6IL06117,1000,C00034785,"ROSKAM, PETER",8,30,2011,REP
H6IL06117,1000,C00078261,"ROSKAM, PETER",11,21,2011,REP
H6IL06117,5000,C00078261,"ROSKAM, PETER",11,21,2011,REP
H6KY03124,1500,C00384602,"YARMUTH, JOHN A MR",10,24,2011,DEM
H6MI01028,1000,C00309146,"CONYERS, JOHN JR.",3,2,2012,DEM
H6MI04113,5000,C00034785,"UPTON, FREDERICK STEPHEN",5,6,2011,REP
H6MI04113,1000,C00309146,"UPTON, FREDERICK STEPHEN",9,26,2011,REP
H6MI04113,2000,C00389403,"UPTON, FREDERICK STEPHEN",11,30,2011,REP
H6MI04113,1000,C00226472,"UPTON, FREDERICK STEPHEN",3,20,2012,REP
H6MI04113,1000,C00309146,"UPTON, FREDERICK STEPHEN",7,11,2012,REP
H6MN05183,5000,C00079541,"ELLISON, KEITH MAURICE",7,31,2012,DEM
H6NC04037,2500,C00176727,"PRICE, DAVID",9,30,2011,DEM
H6NC04037,1500,C00176727,"PRICE, DAVID",12,21,2011,DEM
H6NC04037,1000,C00313650,"PRICE, DAVID",9,5,2012,DEM
H6NC04037,2000,C00078261,"PRICE, DAVID",9,7,2012,DEM
H6NJ08118,2000,C00078261,"PASCRELL, WILLIAM J JR",2,15,2012,DEM
H6NJ08118,1000,C00101766,"PASCRELL, WILLIAM J JR",7,26,2012,DEM
H6NJ09165,2000,C00101766,"ROTHMAN, STEVEN R.",6,23,2011,DEM
H6NJ09165,2000,C00101766,"ROTHMAN, STEVEN R.",12,14,2011,DEM
H6NJ12136,1000,C00309146,"LANCE, LEONARD",7,21,2011,REP
H6NJ12136,1000,C00078261,"LANCE, LEONARD",2,27,2012,REP
H6NJ12144,1000,C00101766,"HOLT, RUSH D.",9,8,2011,DEM
H6NJ12144,1000,C00101766,"HOLT, RUSH D.",6,27,2012,DEM
H6NJ13191,1000,C00078261,"SIRES, ALBIO",12,9,2011,DEM
H6NJ13191,1000,C00101766,"SIRES, ALBIO",5,31,2012,DEM
H6OH02086,1000,C00101766,"SCHMIDT, JEANNETTE H",6,2,2011,REP
H6OH06095,1148,C00484287,"WILSON, CHARLES A",10,8,2012,DEM
H6OH06095,1223,C00484287,"WILSON, CHARLES A",10,9,2012,DEM
H6OH06095,1223,C00484287,"WILSON, CHARLES A",10,10,2012,DEM
H6OH06095,1223,C00484287,"WILSON, CHARLES A",10,11,2012,DEM
H6OH06095,1223,C00484287,"WILSON, CHARLES A",10,12,2012,DEM
H6OH06095,1223,C00484287,"WILSON, CHARLES A",10,13,2012,DEM
H6OH06095,1303,C00484287,"WILSON, CHARLES A",10,14,2012,DEM
H6OH06095,1648,C00484287,"WILSON, CHARLES A",10,15,2012,DEM
H6OH06095,1869,C00484287,"WILSON, CHARLES A",10,16,2012,DEM
H6OH06095,1869,C00484287,"WILSON, CHARLES A",10,17,2012,DEM
H6OH06095,1966,C00484287,"WILSON, CHARLES A",10,20,2012,DEM
H6OH06095,2430,C00484287,"WILSON, CHARLES A",10,27,2012,DEM
H6OH06095,2350,C00484287,"WILSON, CHARLES A",10,28,2012,DEM
H6OH06095,2420,C00484287,"WILSON, CHARLES A",10,29,2012,DEM
H6OH06095,2420,C00484287,"WILSON, CHARLES A",10,30,2012,DEM
H6OH06095,2284,C00484287,"WILSON, CHARLES A",10,31,2012,DEM
H6OH06095,2352,C00484287,"WILSON, CHARLES A",11,1,2012,DEM
H6OH06095,2352,C00484287,"WILSON, CHARLES A",11,2,2012,DEM
H6OH06095,2352,C00484287,"WILSON, CHARLES A",11,3,2012,DEM
H6OH06095,2352,C00484287,"WILSON, CHARLES A",11,4,2012,DEM
H6OH06095,2469,C00484287,"WILSON, CHARLES A",11,5,2012,DEM
H6OH06095,2469,C00484287,"WILSON, CHARLES A",11,6,2012,DEM
H6OH13133,1522,C00484287,"SUTTON, BETTY S",10,24,2012,DEM
H6OR02116,2000,C00168070,"WALDEN, GREGORY P MR.",9,21,2011,REP
H6OR02116,2000,C00168070,"WALDEN, GREGORY P MR.",9,10,2012,REP
H6OR04047,1000,C00101766,"DEFAZIO, PETER A",5,11,2011,DEM
H6OR04047,1000,C00101766,"DEFAZIO, PETER A",7,25,2011,DEM
H6OR04047,2000,C00176727,"DEFAZIO, PETER A",7,31,2011,DEM
H6OR04047,1000,C00176727,"DEFAZIO, PETER A",12,21,2011,DEM
H6OR04047,1000,C00176727,"DEFAZIO, PETER A",6,30,2012,DEM
H6OR04047,2000,C00101766,"DEFAZIO, PETER A",7,17,2012,DEM
H6OR04047,1000,C00176727,"DEFAZIO, PETER A",7,27,2012,DEM
H6OR04047,1000,C00313650,"DEFAZIO, PETER A",9,5,2012,DEM
H6PA04110,1000,C00313650,"ALTMIRE, JASON",3,19,2012,DEM
H6TN09068,1000,C00309146,"COHEN, STEPHEN IRA",9,18,2012,DEM
H6TX00115,1000,C00168070,"REYES, SILVESTRE",7,21,2011,DEM
H6TX08100,1000,C00101766,"BRADY, KEVIN",5,4,2011,REP
H6TX08100,2000,C00101766,"BRADY, KEVIN",10,12,2011,REP
H6TX08100,2000,C00101766,"BRADY, KEVIN",3,29,2012,REP
H6TX08100,1000,C00101766,"BRADY, KEVIN",3,29,2012,REP
H6TX21012,1000,C00309146,"SMITH, LAMAR",9,13,2011,REP
H6TX21012,1000,C00078261,"SMITH, LAMAR",9,7,2012,REP
H6VA01117,1000,C00451153,"SCOTT, ROBERT C",12,21,2011,DEM
H6VA01117,2000,C00309146,"SCOTT, ROBERT C",6,8,2012,DEM
H6VT00160,2500,C00366070,"WELCH, PETER",9,15,2011,DEM
H6VT00160,2000,C00366070,"WELCH, PETER",9,12,2012,DEM
H6VT00160,1000,C00366070,"WELCH, PETER",9,12,2012,DEM
H6WA09025,1000,C00367995,"SMITH, D ADAM",6,2,2011,DEM
H6WA09025,1000,C00367995,"SMITH, D ADAM",3,19,2012,DEM
H6WV04057,3000,C00101766,"RAHALL, NICK JOE II",4,14,2011,DEM
H6WV04057,1000,C00078261,"RAHALL, NICK JOE II",4,26,2012,DEM
H6WV04057,1000,C00078261,"RAHALL, NICK JOE II",4,26,2012,DEM
H8AZ01104,1000,C00309146,"KIRKPATRICK, ANN",8,24,2012,DEM
H8CA01109,1500,C00168070,"THOMPSON, MIKE MR.",11,10,2011,DEM
H8CA05035,2500,C00384602,"PELOSI, NANCY",12,6,2011,DEM
H8CA05035,2000,C00079541,"PELOSI, NANCY",1,23,2012,DEM
H8CA05035,5000,C00079541,"PELOSI, NANCY",6,25,2012,DEM
H8CA09060,1500,C00309146,"LEE, BARBARA",7,15,2011,DEM
H8CA20059,3500,C00142315,"NUNES, DEVIN GERALD",2,1,2011,REP
H8CA20059,1000,C00168070,"NUNES, DEVIN GERALD",10,21,2011,REP
H8CA22089,5000,C00079541,"CAPPS, LOIS",1,23,2012,DEM
H8CA22089,5000,C00079541,"CAPPS, LOIS",6,29,2012,DEM
H8CA22089,1000,C00078261,"CAPPS, LOIS",9,10,2012,DEM
H8CA22089,1000,C00078261,"CAPPS, LOIS",10,31,2012,DEM
H8CA34068,1000,C00101766,"NAPOLITANO, GRACE",6,2,2011,DEM
H8CA34068,1000,C00101766,"NAPOLITANO, GRACE",6,27,2012,DEM
H8CA36097,2000,C00078261,"HAHN, JANICE",12,14,2012,DEM
H8CA37079,1000,C00309146,"LEWIS, JERRY",9,5,2012,REP
H8CA41063,2000,C00101766,"MILLER, GARY G",10,1,2011,REP
H8CA44034,1000,C00309146,"BONO MACK, MARY",11,4,2011,REP
H8CA44034,2000,C00389403,"BONO MACK, MARY",11,30,2011,REP
H8CA52052,2000,C00389403,"HUNTER, DUNCAN D.",11,30,2011,REP
H8CO06138,2500,C00367995,"COFFMAN, MICHAEL",5,14,2012,REP
H8CO06138,1000,C00367995,"COFFMAN, MICHAEL",6,13,2012,REP
H8CO06138,1000,C00485003,"COFFMAN, MICHAEL",8,1,2012,REP
H8CO06138,1000,C00485003,"COFFMAN, MICHAEL",10,25,2012,REP
H8CT01046,2000,C00078261,"LARSON, JOHN B",3,21,2012,DEM
H8FL15107,5000,C00389403,"POSEY, BILL",11,30,2011,REP
H8FL25015,3459,C00521013,"GARCIA, JOE",9,1,2012,DEM
H8FL25015,136387,C00521013,"GARCIA, JOE",10,1,2012,DEM
H8IL18043,1000,C00078261,"SCHOCK, AARON JON MR.",9,7,2012,REP
H8IL21021,1000,C00101766,"COSTELLO, JERRY F",5,10,2011,DEM
H8IL21021,20000,C00238444,"COSTELLO, JERRY F",10,30,2012,DEM
H8IL21021,23000,C00238444,"COSTELLO, JERRY F",11,6,2012,DEM
H8KS02090,1000,C00309146,"JENKINS, LYNN",9,17,2012,REP
H8LA00017,1000,C00226472,"CASSIDY, WILLIAM",3,16,2011,REP
H8LA00017,2500,C00226472,"CASSIDY, WILLIAM",10,28,2011,REP
H8LA00017,2500,C00226472,"CASSIDY, WILLIAM",6,27,2012,REP
H8LA02054,1000,C00226472,"RICHMOND, CEDRIC L.",2,3,2011,DEM
H8LA02054,1500,C00226472,"RICHMOND, CEDRIC L.",5,9,2011,DEM
H8LA02054,1000,C00226472,"RICHMOND, CEDRIC L.",5,15,2012,DEM
H8LA04225,2500,C00226472,"FLEMING, JOHN C MR. JR.",10,28,2011,REP
H8MN03077,1000,C00034785,"PAULSEN, ERIK",7,25,2011,REP
H8MN06047,5000,C00451153,"KLINE, JOHN PAUL JR",6,28,2011,REP
H8MS03067,1000,C00226472,"HARPER, GREGG",9,26,2011,REP
H8MS03067,5000,C00202861,"HARPER, GREGG",2,8,2012,REP
H8MS03067,5000,C00202861,"HARPER, GREGG",9,18,2012,REP
H8NC07044,1000,C00367995,"MCINTYRE, MIKE REP.",6,20,2011,DEM
H8NC07044,1500,C00451153,"MCINTYRE, MIKE REP.",12,21,2011,DEM
H8NC07044,1000,C00367995,"MCINTYRE, MIKE REP.",6,5,2012,DEM
H8NC07044,1500,C00451153,"MCINTYRE, MIKE REP.",11,5,2012,DEM
H8NJ03073,1000,C00078261,"PALLONE, FRANK JR",2,27,2012,DEM
H8NJ03073,2500,C00451153,"PALLONE, FRANK JR",9,28,2012,DEM
H8NJ03073,2000,C00078261,"PALLONE, FRANK JR",10,2,2012,DEM
H8NV03036,5000,C00142315,"TITUS, DINA",12,20,2011,DEM
H8NV03036,5000,C00142315,"TITUS, DINA",3,30,2012,DEM
H8NY07046,1000,C00101766,"CROWLEY, JOSEPH",10,18,2011,DEM
H8NY07046,5000,C00451153,"CROWLEY, JOSEPH",6,25,2012,DEM
H8NY07046,1000,C00078261,"CROWLEY, JOSEPH",9,10,2012,DEM
H8NY24066,1000,C00101766,"HANNA, RICHARD",5,12,2011,REP
H8NY24066,1000,C00101766,"HANNA, RICHARD",11,2,2011,REP
H8NY24066,1000,C00101766,"HANNA, RICHARD",6,21,2012,REP
H8OH07065,2000,C00101766,"AUSTRIA, STEVE C",9,23,2011,REP
H8OH11141,1000,C00101766,"FUDGE, MARCIA L",7,26,2011,DEM
H8OH11141,1000,C00078261,"FUDGE, MARCIA L",3,21,2012,DEM
H8OH11141,1000,C00078261,"FUDGE, MARCIA L",9,10,2012,DEM
H8OH15076,1000,C00101766,"STIVERS, STEVE MR.",3,1,2011,REP
H8OH15076,1000,C00101766,"STIVERS, STEVE MR.",5,11,2011,REP
H8OH15076,1000,C00101766,"STIVERS, STEVE MR.",9,21,2011,REP
H8OH15076,1000,C00101766,"STIVERS, STEVE MR.",10,18,2011,REP
H8OH15076,1000,C00078261,"STIVERS, STEVE MR.",9,7,2012,REP
H8PA01153,5000,C00313650,"BRADY, ROBERT A",9,5,2012,DEM
H8TN02069,1000,C00101766,"DUNCAN, JOHN J REP. JR.",5,11,2011,REP
H8TN02069,1000,C00101766,"DUNCAN, JOHN J REP. JR.",7,18,2012,REP
H8TX20077,2000,C00384602,"GONZALEZ, CHARLES A.",3,18,2011,DEM
H8VA11062,1000,C00101766,"CONNOLLY, GERRY",6,22,2011,DEM
H8WI09050,1000,C00168070,"SENSENBRENNER, F JAMES JR",6,7,2011,REP
H8WY00148,1000,C00485003,"LUMMIS, CYNTHIA MARIE",4,27,2011,REP
H8WY00148,1000,C00485003,"LUMMIS, CYNTHIA MARIE",8,6,2011,REP
H8WY00148,1000,C00485003,"LUMMIS, CYNTHIA MARIE",11,7,2011,REP
H8WY00148,1000,C00485003,"LUMMIS, CYNTHIA MARIE",2,22,2012,REP
H8WY00148,2000,C00485003,"LUMMIS, CYNTHIA MARIE",10,16,2012,REP
